Scanner,Symbol
ZRXUSDTPERP,ZRXUSDT
ZRXUSDT,ZRXUSDT
ZILUSDTPERP,ZILUSDT
ZILUSDT,ZILUSDT
ZENUSDTPERP,ZENUSDT
ZENUSDT,ZENUSDT
ZECUSDTPERP,ZECUSDT
ZECUSDT,ZECUSDT
YFIUSDTPERP,YFIUSDT
YFIUSDT,YFIUSDT
YFIIUSDTPERP,YFIIUSDT
YFIIUSDT,YFIIUSDT
XTZUSDTPERP,XTZUSDT
XTZUSDT,XTZUSDT
XRPUSDTPERP,XRPUSDT
XRPUSDT,XRPUSDT
XMRUSDTPERP,XMRUSDT
XMRUSDT,XMRUSDT
XLMUSDTPERP,XLMUSDT
XLMUSDT,XLMUSDT
XEMUSDTPERP,XEMUSDT
XEMUSDT,XEMUSDT
WAVESUSDTPERP,WAVESUSDT
WAVESUSDT,WAVESUSDT
VETUSDTPERP,VETUSDT
VETUSDT,VETUSDT
UNIUSDTPERP,UNIUSDT
UNIUSDT,UNIUSDT
UNFIUSDTPERP,UNFIUSDT
UNFIUSDT,UNFIUSDT
TRXUSDTPERP,TRXUSDT
TRXUSDT,TRXUSDT
TOMOUSDTPERP,TOMOUSDT
TOMOUSDT,TOMOUSDT
TLMUSDTPERP,TLMUSDT
TLMUSDT,TLMUSDT
THETAUSDTPERP,THETAUSDT
THETAUSDT,THETAUSDT
SXPUSDTPERP,SXPUSDT
SXPUSDT,SXPUSDT
SUSHIUSDTPERP,SUSHIUSDT
SUSHIUSDT,SUSHIUSDT
STORJUSDTPERP,STORJUSDT
STORJUSDT,STORJUSDT
STMXUSDTPERP,STMXUSDT
STMXUSDT,STMXUSDT
SRMUSDTPERP,SRMUSDT
SRMUSDT,SRMUSDT
SOLUSDTPERP,SOLUSDT
SOLUSDT,SOLUSDT
SNXUSDTPERP,SNXUSDT
SNXUSDT,SNXUSDT
SKLUSDTPERP,SKLUSDT
SKLUSDT,SKLUSDT
SFPUSDTPERP,SFPUSDT
SFPUSDT,SFPUSDT
SCUSDTPERP,SCUSDT
SCUSDT,SCUSDT
SANDUSDTPERP,SANDUSDT
SANDUSDT,SANDUSDT
RVNUSDTPERP,RVNUSDT
RVNUSDT,RVNUSDT
RUNEUSDTPERP,RUNEUSDT
RUNEUSDT,RUNEUSDT
RSRUSDTPERP,RSRUSDT
RSRUSDT,RSRUSDT
